chamber,congress,year,party.mean.diff.d1,prop.moderate.d1,prop.moderate.dem.d1,prop.moderate.rep.d1,overlap,chamber.mean.d1,chamber.mean.d2,dem.mean.d1,dem.mean.d2,rep.mean.d1,rep.mean.d2,north.rep.mean.d1,north.rep.mean.d2,south.rep.mean.d1,south.rep.mean.d2,north.dem.mean.d1,north.dem.mean.d2,south.dem.mean.d1,south.dem.mean.d2
Senate,78,1943,0.48687142857142857,0.5242718446601942,0.6,0.40476190476190477,0.14705882352941177,0.005757281553398059,0.13472815533980584,-0.19513333333333333,0.2798,0.29173809523809524,-0.09192857142857142,0.2831951219512195,-0.10685365853658536,0.642,0.52,-0.23494594594594595,0.11543243243243242,-0.13108695652173913,0.5442173913043478
Senate,79,1945,0.4939523809523809,0.5185185185185185,0.5538461538461539,0.4523809523809524,0.1588785046728972,-0.024435185185185185,0.14375925925925925,-0.219,0.3218153846153846,0.27495238095238095,-0.151,0.266925,-0.16055,0.4355,0.04000000000000001,-0.2899473684210526,0.09597368421052632,-0.11914814814814814,0.6396666666666667
Senate,80,1947,0.48431622861910717,0.5102040816326531,0.6382978723404256,0.39215686274509803,0.19387755102040816,0.06051020408163265,0.11815306122448979,-0.191531914893617,0.4662978723404255,0.2927843137254902,-0.20268627450980392,0.29020408163265304,-0.21324489795918367,0.356,0.05600000000000002,-0.2901739130434783,0.17330434782608695,-0.097,0.7470833333333333
Senate,81,1949,0.5059253575165679,0.5462962962962963,0.5737704918032787,0.5106382978723404,0.1388888888888889,-0.019222222222222224,0.0789537037037037,-0.23939344262295081,0.3625901639344262,0.266531914893617,-0.28917021276595745,0.266531914893617,-0.28917021276595745,NaN,NaN,-0.31588235294117645,0.09194117647058823,-0.14307407407407408,0.7034074074074074
Senate,82,1951,0.4763333333333334,0.5454545454545454,0.6274509803921569,0.4583333333333333,0.16161616161616163,0.030616161616161618,0.0731010101010101,-0.20033333333333334,0.4152156862745098,0.276,-0.29039583333333335,0.276,-0.29039583333333335,NaN,NaN,-0.2846153846153846,0.09146153846153847,-0.11268,0.75192
Senate,83,1953,0.47858874912648497,0.5370370370370371,0.6226415094339622,0.46296296296296297,0.1588785046728972,0.04139814814814815,0.05742592592592593,-0.19179245283018867,0.47145283018867923,0.28679629629629627,-0.3575925925925926,0.29088679245283017,-0.3566415094339623,0.07,-0.408,-0.28485185185185186,0.17696296296296296,-0.09515384615384616,0.7772692307692307
Senate,84,1955,0.5107246558197748,0.46464646464646464,0.49019607843137253,0.44680851063829785,0.24489795918367346,0.00595959595959596,0.07011111111111111,-0.23023529411764707,0.42586274509803923,0.2804893617021277,-0.32559574468085106,0.2804893617021277,-0.32559574468085106,NaN,NaN,-0.35228,0.11096,-0.11288461538461539,0.7286538461538461
Senate,85,1957,0.5018164308176101,0.4752475247524752,0.49056603773584906,0.4583333333333333,0.24752475247524752,0.004524752475247526,0.07902970297029703,-0.2339622641509434,0.4559433962264151,0.26785416666666667,-0.3371458333333333,0.2736304347826087,-0.3342391304347826,0.135,-0.404,-0.35842857142857143,0.13471428571428573,-0.09456,0.81572
Senate,86,1959,0.5283922056384743,0.46601941747572817,0.44776119402985076,0.5,0.1941747572815534,-0.08776699029126213,0.11287378640776699,-0.27244776119402986,0.3688507462686567,0.2559444444444445,-0.3635277777777778,0.2630588235294118,-0.36114705882352943,0.135,-0.404,-0.3559555555555555,0.1474,-0.10163636363636364,0.8218181818181818
Senate,87,1961,0.5468423076923077,0.44761904761904764,0.4307692307692308,0.475,0.2,-0.06957142857142856,0.09228571428571429,-0.2778923076923077,0.38735384615384616,0.26895,-0.3872,0.2714594594594595,-0.3948648648648649,0.23800000000000002,-0.2926666666666667,-0.3761627906976744,0.15641860465116278,-0.08581818181818182,0.8387272727272728
Senate,88,1963,0.5695981554677207,0.4215686274509804,0.37681159420289856,0.5151515151515151,0.17647058823529413,-0.1068921568627451,0.09161764705882353,-0.2911739130434783,0.3408840579710145,0.2784242424242424,-0.42957575757575756,0.28246666666666664,-0.44326666666666664,0.23800000000000002,-0.2926666666666667,-0.37727083333333333,0.13441666666666666,-0.09438095238095238,0.8128095238095238
Senate,89,1965,0.5768471861471862,0.3883495145631068,0.35714285714285715,0.45454545454545453,0.13592233009708737,-0.11245631067961165,0.10345631067961165,-0.2972714285714286,0.33525714285714286,0.2795757575757576,-0.3882424242424242,0.2800344827586207,-0.4193448275862069,0.27625,-0.16275,-0.3833958333333333,0.1166875,-0.10936363636363636,0.8121363636363637
Senate,90,1967,0.55190625,0.38613861386138615,0.34375,0.4594594594594595,0.15841584158415842,-0.09672277227722773,0.06000990099009901,-0.29890625,0.3414375,0.253,-0.4267837837837838,0.25018181818181817,-0.4587878787878788,0.27625,-0.16275,-0.36763636363636365,0.12868181818181817,-0.1477,0.8095
Senate,91,1969,0.5398926332288401,0.39215686274509803,0.3448275862068966,0.45454545454545453,0.0784313725490196,-0.056156862745098034,0.004264705882352943,-0.289051724137931,0.346,0.2508409090909091,-0.44620454545454546,0.24692105263157896,-0.49336842105263157,0.27566666666666667,-0.1475,-0.362475,0.120075,-0.12588888888888888,0.8480555555555556
Senate,92,1971,0.5199722222222223,0.42718446601941745,0.375,0.4888888888888889,0.039603960396039604,-0.04827184466019417,-0.001873786407766988,-0.28675,0.35578571428571426,0.23322222222222222,-0.4587555555555555,0.2266923076923077,-0.5066410256410256,0.27566666666666667,-0.1475,-0.3653783783783784,0.11151351351351352,-0.13363157894736843,0.8314736842105264
Senate,93,1973,0.5906793145654834,0.3431372549019608,0.2807017543859649,0.4186046511627907,0.04,-0.0646470588235294,0.008686274509803924,-0.3258421052631579,0.2957719298245614,0.26483720930232557,-0.38372093023255816,0.23765714285714287,-0.4929428571428571,0.38375,0.09412500000000001,-0.38921428571428573,0.1029047619047619,-0.1484,0.8358
Senate,94,1975,0.5953994823123382,0.32673267326732675,0.26229508196721313,0.42105263157894735,0.04040404040404041,-0.08826732673267326,0.028821782178217823,-0.3245573770491803,0.2747377049180328,0.2708421052631579,-0.3782894736842105,0.2395,-0.477875,0.438,0.15283333333333335,-0.3851818181818182,0.082,-0.1676470588235294,0.7735882352941177
Senate,95,1977,0.5886878542510121,0.33653846153846156,0.27692307692307694,0.42105263157894735,0.10679611650485436,-0.10060576923076923,0.044653846153846155,-0.31966153846153844,0.2936615384615385,0.26902631578947367,-0.40557894736842104,0.23734375,-0.51028125,0.438,0.15283333333333335,-0.3839782608695652,0.10258695652173913,-0.16394736842105262,0.7562631578947369
Senate,96,1979,0.5895155022736669,0.3465346534653465,0.288135593220339,0.4146341463414634,0.01,-0.06956435643564356,0.002386138613861389,-0.3128813559322034,0.2621525423728814,0.27663414634146344,-0.3949756097560976,0.25771428571428573,-0.47362857142857145,0.387,0.06383333333333334,-0.3546190476190476,0.07283333333333333,-0.20976470588235294,0.7298823529411764
Senate,97,1981,0.6095668276972626,0.3465346534653465,0.32608695652173914,0.35185185185185186,0,0.030455445544554458,-0.04140594059405941,-0.29932608695652174,0.26058695652173913,0.31024074074074076,-0.31735185185185183,0.28704545454545455,-0.4333409090909091,0.4123,0.193,-0.33345454545454545,0.08087878787878788,-0.21269230769230768,0.7167692307692308
Senate,98,1983,0.6084205533596838,0.33663366336633666,0.30434782608695654,0.36363636363636365,0,0.029970297029702973,-0.053,-0.30134782608695654,0.2465,0.3070727272727273,-0.3034909090909091,0.2841590909090909,-0.42404545454545456,0.3987272727272727,0.17872727272727273,-0.3362727272727273,0.061242424242424244,-0.21269230769230768,0.7167692307692308
Senate,99,1985,0.6194688731284477,0.31683168316831684,0.2765957446808511,0.35185185185185186,0,0.025584158415841586,-0.052257425742574255,-0.30561702127659574,0.21510638297872342,0.3138518518518519,-0.284962962962963,0.28741463414634144,-0.42292682926829267,0.3972307692307692,0.15015384615384617,-0.34037142857142855,0.03782857142857143,-0.20425,0.7321666666666666
Senate,100,1987,0.6080774703557312,0.3069306930693069,0.2909090909090909,0.32608695652173914,0,-0.017435643564356434,-0.0434059405940594,-0.2943818181818182,0.2001090909090909,0.31369565217391304,-0.33456521739130435,0.2927105263157895,-0.4303947368421053,0.413375,0.120625,-0.3344871794871795,0.0362051282051282,-0.196625,0.599625
Senate,101,1989,0.616098602484472,0.29411764705882354,0.30357142857142855,0.2826086956521739,0,-0.015598039215686272,-0.06855882352941177,-0.29344642857142855,0.123125,0.32265217391304346,-0.30191304347826087,0.2957297297297297,-0.397027027027027,0.43333333333333335,0.08911111111111111,-0.32602439024390245,-0.026975609756097564,-0.2044,0.5334
Senate,102,1991,0.618621473354232,0.29411764705882354,0.29310344827586204,0.29545454545454547,0,-0.03233333333333333,-0.0721078431372549,-0.2991896551724138,0.10587931034482759,0.3194318181818182,-0.30672727272727274,0.29014285714285715,-0.4085142857142857,0.43333333333333335,0.08911111111111111,-0.33225581395348835,-0.043255813953488376,-0.2044,0.5334
Senate,103,1993,0.6335485380116959,0.27450980392156865,0.2807017543859649,0.26666666666666666,0,-0.01668627450980392,-0.0767843137254902,-0.29619298245614034,0.07424561403508773,0.3373555555555556,-0.2680888888888889,0.2891875,-0.41925,0.45592307692307693,0.104,-0.32720454545454547,-0.07677272727272727,-0.19123076923076923,0.5853846153846154
